name,aliases,country,province,lat,lon,Route,URL
Upper Pools East Bank,Folly River Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.49695,-63.52773,Sink or Send,https://www.mountainproject.com/route/120016138/sink-or-send
Copper River FSR Ice,Highway 16 Ice|Northern BC|British Columbia|North America|International,Canada,British Columbia,54.52508,-128.41343,CRFSR-3.6km,https://www.mountainproject.com/route/118342178/crfsr-36km
Twin Falls Gorge Territorial Park (Ice),Northwest Territories|North America|International,Canada,Northwest Territories,60.50132,-116.25907,Escarpment Creek Lower Falls,https://www.mountainproject.com/route/122219230/escarpment-creek-lower-falls
The River Wall,Joggins|Nova Scotia|North America|International,Canada,Nova Scotia,45.68499,-64.45228,Barbelé,https://www.mountainproject.com/route/121908334/barbele
East Branch of Folly River,Folly River Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.50335,-63.52137,Timber!,https://www.mountainproject.com/route/120052880/timber
Fownes Head West Ice,Fownes Head Ice|New Brunswick|North America|International,Canada,New Brunswick,45.38698,-65.45479,Entrance Fee,https://www.mountainproject.com/route/116718628/entrance-fee
Work Wall,The DR Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.44961,-64.41857,Egg Shells,https://www.mountainproject.com/route/120015497/egg-shells
Twin Falls Gorge Territorial Park (Ice),Northwest Territories|North America|International,Canada,Northwest Territories,60.50132,-116.25907,The Eye,https://www.mountainproject.com/route/122187617/the-eye
The River Wall,Joggins|Nova Scotia|North America|International,Canada,Nova Scotia,45.68499,-64.45228,Rainy Days,https://www.mountainproject.com/route/121908326/rainy-days
Pillar Wall,The DR Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.44989,-64.41852,Vortex,https://www.mountainproject.com/route/120015305/vortex
Shawbridge,"15. Laurentians Ice|*Quebec Ice, Mixed & Alpine|Quebec|North America|International",Canada,Quebec,45.88554,-74.07634,Purgatoire,https://www.mountainproject.com/route/108449080/purgatoire
LSR North,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.50138,-65.28785,Technicolor Playground,https://www.mountainproject.com/route/118304801/technicolor-playground
Crag Mirage,Nova Scotia|North America|International,Canada,Nova Scotia,45.49382,-63.61545,A Roundabout Way,https://www.mountainproject.com/route/120052917/a-roundabout-way
Upper Pools West Bank,Folly River Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.49687,-63.52784,Folly Ghost,https://www.mountainproject.com/route/120016014/folly-ghost
Upper Pools East Bank,Folly River Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.49695,-63.52773,Pitchfork,https://www.mountainproject.com/route/120016173/pitchfork
Copper Mountain Ice,Highway 16 Ice|Northern BC|British Columbia|North America|International,Canada,British Columbia,54.52921,-128.47919,Candy Box,https://www.mountainproject.com/route/118342107/candy-box
Crag Mirage,Nova Scotia|North America|International,Canada,Nova Scotia,45.49382,-63.61545,Mirage,https://www.mountainproject.com/route/120052911/mirage
Work Wall,The DR Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.44961,-64.41857,And My Axe,https://www.mountainproject.com/route/120015525/and-my-axe
Upper Gorge,The DR Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.45001,-64.4184,Darksaber,https://www.mountainproject.com/route/120015780/darksaber
The River Wall,Joggins|Nova Scotia|North America|International,Canada,Nova Scotia,45.68499,-64.45228,Punta,https://www.mountainproject.com/route/121909455/punta
